Investigator,,Time (s),Electrode,Amplitude (mV)
,,00047.430400,B2_23,0.022
,,00047.433600,A2_33,0.017
,,00047.455200,A2_46,0.016
,,00047.455920,A2_24,0.02
,,00047.464240,A2_43,0.016
,,00047.470560,A2_24,0.019
,,00047.474800,B2_32,0.012
,,00047.476720,A2_33,0.016
,,00047.528640,A2_33,0.016
,,00047.536320,A2_33,0.015
,,00047.559200,A2_33,0.015
,,00047.591920,B2_23,0.025
,,00047.592880,A2_24,0.017
,,00047.621120,A2_33,0.017
,,00047.661840,A2_66,0.021
,,00047.664560,A2_33,0.019
,,00047.766080,A2_33,0.015
,,00047.789600,A2_22,0.011
,,00047.799280,A2_33,0.015
,,00047.819360,A2_33,0.015
,,00047.888960,A2_28,0.009
,,00047.890160,A2_24,0.029
,,00047.903120,A2_24,0.016
,,00047.904720,A2_33,0.014
,,00047.927600,A2_33,0.015
,,00047.938800,A2_66,0.019
,,00047.970160,A2_33,0.015
,,00048.012400,A2_33,0.014
,,00048.188240,A2_56,0.011
,,00048.284160,A2_33,0.014
,,00048.662960,B2_32,0.016
,,00048.663920,B2_23,0.024
,,00048.676960,B2_23,0.028
,,00048.686640,B2_23,0.017
,,00048.688320,B2_32,0.015
,,00048.695280,B2_41,0.014
,,00048.701360,B2_32,0.014
,,00048.702240,B2_23,0.034
,,00048.772800,B2_43,0.009
,,00048.775360,B2_23,0.023
,,00048.847840,B2_32,0.013
,,00048.978480,B2_23,0.02
,,00049.030880,B2_23,0.024
,,00049.133760,A3_21,0.01
,,00049.136160,A3_31,0.02
,,00049.191440,A3_21,0.016
,,00049.233920,A3_21,0.015
,,00049.275280,B2_23,0.024
,,00049.368640,B2_23,0.022
,,00049.455120,B2_23,0.027
,,00049.504400,B2_32,0.012
,,00049.505280,B2_23,0.028
,,00049.643600,A2_21,0.027
,,00049.657280,B2_23,0.025
,,00049.675120,B2_32,0.017
,,00049.737840,B2_23,0.029
,,00049.853040,B2_32,0.014
,,00050.120480,B2_32,0.012
,,00050.121520,B2_23,0.026
,,00050.779360,A2_46,0.02
,,00050.922400,A3_31,0.021
,,00051.442640,A2_21,0.024
,,00051.625040,A2_21,0.013
,,00052.066960,A3_31,0.019
,,00052.238400,A2_22,0.02
,,00052.239600,A2_11,0.016
,,00052.258960,A2_24,0.028
,,00052.269200,A2_24,0.019
,,00052.278000,A2_24,0.018
,,00052.294800,A2_66,0.021
,,00052.316560,A2_46,0.019
,,00052.328720,A2_33,0.012
,,00052.333200,A2_24,0.016
,,00052.345600,A2_14,0.013
,,00052.351680,A2_28,0.01
,,00052.354960,A2_33,0.016
,,00052.357920,A2_24,0.018
,,00052.359680,A2_31,0.013
,,00052.366720,A2_21,0.028
,,00052.368640,A2_66,0.024
,,00052.378000,A2_33,0.016
,,00052.383040,A2_33,0.015
,,00052.383120,A2_21,0.03
,,00052.390800,A2_24,0.023
,,00052.401040,A2_28,0.012
,,00052.419120,A2_66,0.019
,,00052.422640,A2_33,0.014
,,00052.440080,A2_33,0.013
,,00052.455280,A2_33,0.02
,,00052.471440,A2_33,0.023
,,00052.476640,A2_66,0.016
,,00052.476880,A2_33,0.016
,,00052.495520,A2_33,0.021
,,00052.507840,A2_11,0.02
,,00052.510240,A2_21,0.026
,,00052.513760,A2_33,0.018
,,00052.515840,A2_21,0.016
,,00052.524320,A2_66,0.017
,,00052.524720,A2_21,0.017
,,00052.533520,A2_33,0.012
,,00052.549120,A2_33,0.018
,,00052.556800,A2_33,0.015
,,00052.556800,A2_66,0.018
,,00052.579680,A2_66,0.012
,,00052.582000,A2_33,0.017
,,00052.588640,A2_21,0.011
,,00052.603120,A2_33,0.013
,,00052.614080,A2_33,0.017
,,00052.631360,A2_22,0.013
,,00052.653600,A2_33,0.017
,,00052.683520,A2_24,0.021
,,00052.694880,A2_33,0.016
,,00052.698080,A2_24,0.017
,,00052.755680,A2_66,0.015
,,00052.762480,A2_33,0.02
,,00052.768800,A2_33,0.017
,,00052.918480,A2_33,0.017
,,00052.944080,A2_24,0.018
,,00052.947440,A2_46,0.017
,,00053.060480,A2_66,0.019
,,00053.111920,A2_33,0.014
,,00053.156560,A2_53,0.013
,,00053.215760,A2_33,0.015
,,00053.314640,A2_24,0.019
,,00053.371760,A2_33,0.014
,,00053.387280,A2_33,0.014
,,00053.396960,A2_24,0.021
,,00053.465040,A2_46,0.015
,,00053.542160,A2_33,0.012
,,00053.726080,A3_31,0.021
,,00054.600320,A2_21,0.019
,,00055.292400,A3_31,0.014
,,00055.587280,A2_46,0.017
,,00056.581040,A2_21,0.027
,,00056.608480,A2_22,0.015
,,00056.608640,A2_11,0.022
,,00056.682160,A2_24,0.02
,,00056.693680,A2_24,0.017
,,00056.702000,A2_22,0.018
,,00056.712160,A2_24,0.016
,,00056.725840,A2_66,0.024
,,00056.750080,A3_31,0.018
,,00056.751360,A2_21,0.02
,,00056.751360,A2_46,0.019
,,00056.762480,A2_56,0.014
,,00056.765040,A2_33,0.017
,,00056.780800,A2_33,0.012
,,00056.804400,A2_24,0.018
,,00056.816160,A2_21,0.027
,,00056.821920,A2_66,0.022
,,00056.833200,A2_21,0.023
,,00056.833840,A3_31,0.018
,,00056.840640,A2_33,0.013
,,00056.844000,A2_33,0.017
,,00056.852080,A2_24,0.015
,,00056.857840,A2_56,0.015
,,00056.861280,A2_24,0.022
,,00056.872800,A2_66,0.016
,,00056.903680,A2_33,0.012
,,00056.908960,A2_24,0.023
,,00056.910480,A2_28,0.009
,,00056.933760,A2_66,0.018
,,00056.960400,A2_33,0.016
,,00056.974720,A2_66,0.025
,,00056.992240,A2_33,0.013
,,00057.004960,A2_66,0.021
,,00057.009440,A2_33,0.013
,,00057.023360,A2_33,0.015
,,00057.025920,A2_33,0.017
,,00057.034160,A2_66,0.012
,,00057.049360,A2_33,0.016
,,00057.083360,A2_24,0.019
,,00057.092960,A2_24,0.019
,,00057.096320,A2_24,0.02
,,00057.108960,A2_33,0.01
,,00057.123120,A2_33,0.015
,,00057.248400,A2_33,0.012
,,00057.267520,A2_33,0.012
,,00057.288240,A2_66,0.014
,,00057.363520,A2_24,0.016
,,00057.415920,A2_24,0.023
,,00057.455520,A2_33,0.016
,,00057.475920,A2_33,0.013
,,00057.509920,A2_33,0.014
,,00057.573440,A2_33,0.012
,,00057.578080,A2_66,0.015
,,00057.696800,A2_33,0.016
,,00057.793040,A2_33,0.012
,,00057.870880,A2_33,0.014
,,00058.051680,A2_33,0.013
,,00058.925600,A3_31,0.018
,,00059.046720,A2_21,0.02
,,00059.241840,A3_31,0.018
,,00060.032880,A2_21,0.022
,,00060.438480,A3_31,0.019
,,00060.537360,A3_67,0.015
,,00060.622880,A3_31,0.019
,,00061.478400,A3_21,0.016
,,00061.517280,A2_21,0.024
,,00061.602480,A2_46,0.016
,,00061.624400,A2_22,0.018
,,00061.898160,A2_11,0.02
,,00061.898160,A2_22,0.018
,,00061.917760,A2_24,0.018
,,00061.928080,A2_24,0.027
,,00061.943200,A2_66,0.021
,,00061.990320,A2_56,0.014
,,00061.995600,A2_24,0.018
,,00062.003680,A2_46,0.018
,,00062.015920,A2_24,0.018
,,00062.024800,A2_66,0.022
,,00062.030400,A2_21,0.025
,,00062.039280,A2_24,0.022
,,00062.052960,A2_21,0.025
,,00062.063520,A2_33,0.016
,,00062.078880,A2_33,0.014
,,00062.084560,A2_66,0.019
,,00062.088000,A2_33,0.024
,,00062.100080,A2_33,0.019
,,00062.116400,A2_24,0.017
,,00062.120880,A2_33,0.013
,,00062.130960,A2_52,0.012
,,00062.133760,A2_24,0.027
,,00062.150960,A2_66,0.016
,,00062.163680,A2_33,0.014
,,00062.187280,A2_22,0.016
,,00062.188320,A2_33,0.012
,,00062.188960,A2_21,0.02
,,00062.214800,A2_21,0.018
,,00062.223680,A2_56,0.016
,,00062.224880,A2_66,0.018
,,00062.260160,A2_66,0.014
,,00062.275440,A2_28,0.012
,,00062.287600,A2_33,0.013
,,00062.310560,A2_33,0.013
,,00062.319360,A2_33,0.013
,,00062.329120,A2_28,0.011
,,00062.329600,A2_33,0.015
,,00062.343760,A2_24,0.023
,,00062.368240,A2_33,0.017
,,00062.395360,A2_32,0.013
,,00062.399360,A2_28,0.01
,,00062.450080,A2_33,0.013
,,00062.460480,A2_33,0.016
,,00062.500480,A2_66,0.015
,,00062.525280,A2_33,0.014
,,00062.565120,A2_33,0.013
,,00062.667920,A2_24,0.018
,,00062.685440,A2_33,0.014
,,00062.804960,A2_33,0.021
,,00062.870480,A2_33,0.013
,,00062.892800,A2_33,0.014
,,00062.965920,A2_24,0.021
,,00062.966160,A2_66,0.02
,,00063.000400,A2_24,0.016
,,00063.556560,A2_24,0.018
,,00064.315680,A3_26,0.015
,,00064.413920,A2_46,0.017
,,00064.563600,A2_21,0.021
,,00065.093760,A3_31,0.019
,,00066.555360,A3_31,0.015
,,00066.576000,A2_22,0.022
,,00066.629520,A2_24,0.019
,,00066.640080,A2_24,0.016
,,00066.644400,A2_22,0.013
,,00066.688080,A2_66,0.022
,,00066.740640,A2_24,0.016
,,00066.745760,A2_33,0.013
,,00066.751200,A2_33,0.02
,,00066.751840,A2_32,0.014
,,00066.757840,A2_24,0.021
,,00066.769440,A2_21,0.023
,,00066.776960,A2_33,0.015
,,00066.779760,A2_66,0.021
,,00066.783120,A2_24,0.022
,,00066.795280,A2_21,0.025
,,00066.801200,A2_33,0.015
,,00066.804880,A2_21,0.021
,,00066.806720,A2_33,0.014
,,00066.817840,A2_21,0.022
,,00066.829280,A2_33,0.017
,,00066.835040,A2_66,0.022
,,00066.835200,A2_43,0.012
,,00066.843920,A2_43,0.013
,,00066.867600,A2_21,0.013
,,00066.870160,A2_33,0.016
,,00066.899440,A2_31,0.015
,,00066.911520,A2_33,0.014
,,00066.911600,A2_66,0.017
,,00066.960640,A2_21,0.024
,,00066.961440,A2_33,0.016
,,00066.974720,A2_66,0.022
,,00066.977600,A2_22,0.012
,,00066.984880,A2_33,0.015
,,00066.999280,A2_22,0.012
,,00067.003600,A2_66,0.013
,,00067.016000,A2_33,0.022
,,00067.035760,A2_66,0.013
,,00067.043840,A2_33,0.021
,,00067.056080,A2_24,0.02
,,00067.056800,A2_46,0.016
,,00067.067840,A2_33,0.012
,,00067.093920,A2_33,0.014
,,00067.100960,A2_33,0.015
,,00067.167840,A2_28,0.011
,,00067.282880,A2_66,0.02
,,00067.306800,A2_24,0.02
,,00067.360880,A2_33,0.012
,,00067.363680,A2_28,0.008
,,00067.378160,A2_24,0.02
,,00067.400160,A2_33,0.017
,,00067.563920,A2_33,0.015
,,00067.655120,A2_33,0.017
,,00067.690160,A2_46,0.02
,,00067.724960,B2_41,0.012
,,00067.726960,B2_23,0.024
,,00067.727280,B2_43,0.011
,,00067.742080,B2_32,0.011
,,00067.766480,B2_32,0.013
,,00067.778320,A2_24,0.017
,,00067.783440,B2_23,0.029
,,00067.791040,A2_33,0.013
,,00067.791840,B2_43,0.009
,,00067.796000,B2_23,0.022
,,00067.827600,A2_33,0.014
,,00067.864720,B2_23,0.023
,,00067.899680,A2_24,0.018
,,00067.982880,A3_31,0.017
,,00067.996560,B2_32,0.012
,,00068.065360,A3_31,0.015
,,00068.066960,B2_32,0.011
,,00068.067920,B2_23,0.025
,,00068.608240,A2_24,0.016
,,00069.120320,A2_21,0.025
,,00069.266480,A2_21,0.017
,,00069.796480,B2_43,0.01
,,00070.198240,A2_46,0.017
,,00071.369040,A2_21,0.026
,,00072.094000,A2_46,0.016
,,00072.196720,A3_31,0.024
,,00072.221280,A2_46,0.018
,,00072.265200,A2_22,0.018
,,00072.266400,A2_11,0.021
,,00072.314320,A2_24,0.017
,,00072.332400,A2_24,0.017
,,00072.338160,A2_22,0.014
,,00072.352560,A2_66,0.024
,,00072.384000,A2_33,0.017
,,00072.416720,A2_33,0.017
,,00072.417360,A2_21,0.024
,,00072.421680,A2_33,0.016
,,00072.424480,A2_24,0.021
,,00072.425360,A2_66,0.024
,,00072.436400,A2_24,0.019
,,00072.437120,A2_21,0.027
,,00072.441600,A2_33,0.017
,,00072.467760,A2_33,0.016
,,00072.473760,A2_66,0.02
,,00072.478800,A2_33,0.016
,,00072.494880,A2_33,0.016
,,00072.506560,A2_22,0.012
,,00072.511360,A2_33,0.019
,,00072.512240,A2_24,0.022
,,00072.519600,A3_31,0.017
,,00072.521680,A2_66,0.02
,,00072.527680,A2_33,0.019
,,00072.540720,A2_22,0.017
,,00072.540800,A2_24,0.023
,,00072.542480,A2_21,0.03
,,00072.547040,A2_33,0.017
,,00072.564960,A2_33,0.016
,,00072.568720,A2_33,0.017
,,00072.571600,A2_22,0.015
,,00072.572000,A2_66,0.021
,,00072.572080,A2_24,0.023
,,00072.579040,A2_22,0.01
,,00072.582960,A2_22,0.011
,,00072.589440,A2_33,0.016
,,00072.599840,A2_66,0.018
,,00072.606960,A2_21,0.022
,,00072.617440,A3_21,0.017
,,00072.631040,A2_66,0.012
,,00072.632800,A2_22,0.012
,,00072.634640,A3_31,0.016
,,00072.637440,A2_33,0.016
,,00072.660960,A2_33,0.017
,,00072.674640,A2_33,0.015
,,00072.676560,A2_28,0.012
,,00072.721840,A2_33,0.014
,,00072.735200,A2_33,0.013
,,00072.751360,A2_33,0.016
,,00072.782560,A2_33,0.018
,,00072.794800,A2_24,0.016
,,00072.820880,A2_33,0.012
,,00072.879280,A2_33,0.015
,,00072.896400,A2_66,0.015
,,00072.906560,A2_33,0.013
,,00072.970560,A2_42,0.011
,,00073.027200,A2_33,0.019
,,00073.046400,A2_24,0.018
,,00073.166800,A2_24,0.021
,,00073.221040,A2_11,0.02
,,00073.258880,A2_33,0.015
,,00073.272240,A2_66,0.02
,,00073.440560,A2_24,0.02
,,00073.463360,A2_33,0.015
,,00073.470880,A2_33,0.015
,,00073.537520,A2_33,0.013
,,00073.691440,A3_31,0.018
,,00073.942000,A3_21,0.014
,,00074.892560,A3_31,0.018
,,00075.052480,A2_21,0.022
,,00075.899440,A3_31,0.017
,,00077.039120,A2_21,0.024
,,00077.148880,A3_21,0.011
,,00077.403440,B2_32,0.017
,,00077.404480,B2_23,0.03
,,00077.416000,B2_23,0.022
,,00077.430000,B2_23,0.024
,,00077.440960,B2_32,0.013
,,00077.441760,B2_23,0.026
,,00077.457840,B2_32,0.014
,,00077.459520,A3_26,0.016
,,00077.475520,B2_32,0.013
,,00077.493600,B2_23,0.025
,,00077.506960,B2_23,0.023
,,00077.522080,B2_32,0.015
,,00077.523040,B2_23,0.021
,,00077.538400,B2_23,0.027
,,00077.560160,B2_23,0.026
,,00077.602560,B2_23,0.018
,,00077.618720,B2_32,0.011
,,00077.619680,B2_23,0.023
,,00077.626000,B2_43,0.01
,,00077.629600,B2_32,0.015
,,00077.630640,B2_23,0.02
,,00077.652480,B2_23,0.018
,,00077.695440,B2_32,0.012
,,00077.696400,B2_23,0.025
,,00077.767520,B2_23,0.025
,,00077.790800,A3_21,0.01
,,00077.795360,B2_23,0.023
,,00077.821520,B2_23,0.024
,,00077.898080,B2_23,0.023
,,00077.930080,B2_23,0.021
,,00078.006720,A3_83,0.022
,,00078.016320,B2_23,0.027
,,00078.056160,B2_32,0.013
,,00078.057120,B2_23,0.023
,,00078.127920,B2_23,0.023
,,00078.263520,B2_23,0.026
,,00078.466800,B2_23,0.027
,,00078.515280,B2_23,0.019
,,00078.654160,B2_23,0.022
,,00078.679920,A2_46,0.016
,,00078.743280,B2_32,0.014
,,00078.744160,B2_23,0.022
,,00078.785120,B2_23,0.024
,,00078.789040,A2_46,0.019
,,00078.861200,B2_32,0.015
,,00078.862240,B2_23,0.023
,,00078.981760,A2_21,0.025
,,00078.986560,B2_23,0.027
,,00079.084480,B2_23,0.021
,,00079.216640,B2_32,0.012
,,00079.217600,B2_23,0.024
,,00079.305680,B2_23,0.02
,,00079.350560,B2_32,0.013
,,00079.351520,B2_23,0.019
,,00079.400000,B2_23,0.022
,,00079.427040,B2_23,0.024
,,00079.496400,B2_32,0.012
,,00079.564880,B2_23,0.024
,,00079.607600,B2_23,0.025
,,00079.916320,B2_32,0.013
,,00079.917120,B2_23,0.035
,,00079.986400,A3_31,0.02
,,00079.989120,B2_32,0.013
,,00079.990160,B2_23,0.025
,,00080.024000,B2_23,0.022
,,00080.123520,A2_22,0.021
,,00080.124720,A2_11,0.027
,,00080.129360,A2_24,0.016
,,00080.140800,A2_24,0.017
,,00080.149440,A2_24,0.015
,,00080.170720,A2_22,0.012
,,00080.171040,A2_11,0.019
,,00080.176720,A2_66,0.025
,,00080.192480,B2_32,0.015
,,00080.193520,B2_23,0.024
,,00080.197600,A2_46,0.018
,,00080.205680,A2_22,0.013
,,00080.206320,A2_14,0.016
,,00080.207840,A2_24,0.016
,,00080.208080,A2_33,0.013
,,00080.219840,A2_33,0.017
,,00080.229840,A2_21,0.023
,,00080.241280,A2_66,0.02
,,00080.247680,A2_21,0.03
,,00080.258320,A2_33,0.015
,,00080.258800,A2_21,0.02
,,00080.271360,A2_24,0.026
,,00080.275040,A2_66,0.021
,,00080.276560,A2_56,0.014
,,00080.290400,A2_24,0.017
,,00080.297600,A2_33,0.015
,,00080.322080,A2_66,0.021
,,00080.335840,A2_33,0.016
,,00080.338880,A2_33,0.015
,,00080.351600,A2_33,0.016
,,00080.361440,A2_21,0.018
,,00080.366320,A2_66,0.02
,,00080.367040,A2_24,0.015
,,00080.371920,A2_21,0.014
,,00080.372640,A2_33,0.013
,,00080.373520,A2_22,0.014
,,00080.376400,A2_21,0.024
,,00080.384080,A2_33,0.015
,,00080.392480,A2_66,0.018
,,00080.411680,A3_21,0.019
,,00080.412560,A2_46,0.016
,,00080.416560,A2_66,0.014
,,00080.420160,A2_33,0.018
,,00080.424320,A2_33,0.019
,,00080.434880,A2_33,0.015
,,00080.435360,A2_21,0.015
,,00080.447360,A2_66,0.014
,,00080.468640,B2_32,0.013
,,00080.468960,A2_33,0.02
,,00080.469760,B2_23,0.03
,,00080.476240,A2_32,0.013
,,00080.481520,A2_24,0.019
,,00080.482720,A2_33,0.015
,,00080.491040,A2_33,0.021
,,00080.504240,A2_33,0.02
,,00080.532560,A2_24,0.017
,,00080.570960,A2_24,0.027
,,00080.579920,A2_33,0.013
,,00080.592000,A2_33,0.017
,,00080.619760,B2_32,0.014
,,00080.622080,A2_33,0.012
,,00080.651600,A3_31,0.019
,,00080.660080,A2_66,0.015
,,00080.678640,A2_33,0.015
,,00080.720400,A2_33,0.013
,,00080.747360,B2_32,0.013
,,00080.748160,B2_23,0.032
,,00080.779760,A2_33,0.017
,,00080.797200,A2_46,0.015
,,00080.833600,A2_24,0.018
,,00080.854640,A2_33,0.018
,,00080.917600,A2_66,0.02
,,00080.955360,A2_42,0.012
,,00080.967360,B2_23,0.027
,,00081.024880,B2_32,0.014
,,00081.025840,B2_23,0.028
,,00081.049040,B2_32,0.013
,,00081.055600,A2_28,0.012
,,00081.058560,A2_33,0.013
,,00081.096800,B2_32,0.015
,,00081.097760,B2_23,0.029
,,00081.179840,B2_23,0.024
,,00081.185760,A2_66,0.022
,,00081.264480,B2_23,0.024
,,00081.274960,A2_24,0.017
,,00081.287760,A2_24,0.016
,,00081.303120,A2_46,0.018
,,00081.349840,A2_33,0.013
,,00081.376560,B2_23,0.03
,,00081.406480,A2_33,0.017
,,00081.409440,B2_32,0.013
,,00081.451520,B2_32,0.012
,,00081.452480,B2_23,0.025
,,00081.510720,B2_32,0.013
,,00081.596800,A2_33,0.015
,,00081.647840,B2_32,0.016
,,00081.648880,B2_23,0.027
,,00081.752000,B2_32,0.015
,,00081.788640,B2_32,0.015
,,00081.826880,B2_23,0.029
,,00081.878800,B2_32,0.011
,,00081.890880,A3_31,0.017
,,00082.272080,A3_31,0.017
,,00082.434640,B2_32,0.014
,,00082.446480,B2_32,0.016
,,00082.447760,B2_23,0.031
,,00082.514400,B2_32,0.013
,,00082.515440,B2_23,0.026
,,00082.543120,A2_21,0.022
,,00082.753040,A3_31,0.019
,,00083.550320,A3_31,0.013
,,00083.976080,A2_21,0.025
,,00084.737600,A2_22,0.021
,,00084.766240,A2_24,0.022
,,00084.776880,A2_24,0.023
,,00084.828000,A2_66,0.025
,,00084.876880,A2_43,0.012
,,00084.882480,A2_21,0.026
,,00084.889600,A2_24,0.018
,,00084.897280,A2_33,0.015
,,00084.907680,A2_66,0.024
,,00084.908960,A2_21,0.017
,,00084.927040,A2_24,0.018
,,00084.928400,A2_33,0.014
,,00084.942800,A2_33,0.015
,,00084.943120,A2_24,0.025
,,00084.950720,A2_22,0.017
,,00084.966960,A2_66,0.022
,,00084.969200,A2_33,0.017
,,00084.981200,A2_24,0.018
,,00085.009840,A2_33,0.016
,,00085.018240,A2_33,0.014
,,00085.024800,A2_24,0.017
,,00085.032480,A2_33,0.017
,,00085.039520,A2_21,0.016
,,00085.044960,A2_66,0.021
,,00085.048080,A2_66,0.016
,,00085.056000,A2_33,0.014
,,00085.060720,A2_33,0.018
,,00085.076480,A2_66,0.021
,,00085.081440,A2_33,0.012
,,00085.081680,A2_21,0.022
,,00085.088720,A2_33,0.015
,,00085.095120,A3_21,0.013
,,00085.135440,A2_33,0.017
,,00085.140880,A2_66,0.019
,,00085.164480,A2_24,0.02
,,00085.183040,A3_21,0.016
,,00085.326640,A2_33,0.014
,,00085.329760,A2_33,0.014
,,00085.331920,A2_66,0.015
,,00085.354400,A2_53,0.013
,,00085.462720,A2_24,0.018
,,00085.497600,A2_33,0.015
,,00085.528960,A3_31,0.018
,,00085.594560,A2_66,0.014
,,00085.618400,A2_33,0.014
,,00085.663440,A2_33,0.016
,,00085.684320,A2_22,0.017
,,00085.686000,A2_11,0.019
,,00085.818560,A2_24,0.023
,,00085.826560,A2_33,0.013
,,00086.012800,A3_31,0.016
,,00086.319360,A2_24,0.022
,,00087.182080,A3_31,0.019
,,00087.418080,A2_21,0.024
,,00087.807920,A3_31,0.018
,,00088.938400,A2_46,0.017
,,00088.959600,A2_46,0.019
,,00089.185040,A3_31,0.02
,,00089.464720,A2_21,0.027
,,00089.634160,A2_22,0.018
,,00089.688000,A2_24,0.024
,,00089.716560,A2_22,0.015
,,00089.727680,A2_66,0.022
,,00089.741440,A2_33,0.017
,,00089.749600,A2_52,0.01
,,00089.756480,A2_24,0.018
,,00089.769840,A2_46,0.018
,,00089.771120,A2_33,0.016
,,00089.795280,A2_46,0.016
,,00089.798160,A2_33,0.013
,,00089.798800,A2_66,0.014
,,00089.804960,A2_24,0.019
,,00089.805520,A2_21,0.026
,,00089.828960,A2_21,0.026
,,00089.837920,A2_33,0.017
,,00089.839680,A2_21,0.018
,,00089.846720,A2_66,0.019
,,00089.848000,A2_33,0.017
,,00089.871920,A2_33,0.018
,,00089.893280,A2_33,0.016
,,00089.899280,A2_33,0.016
,,00089.899600,A2_24,0.019
,,00089.906400,A2_33,0.013
,,00089.910880,A2_24,0.024
,,00089.911360,A2_66,0.021
,,00089.920240,A2_33,0.021
,,00089.928400,A3_31,0.019
,,00089.932480,A2_24,0.034
,,00089.946320,A2_31,0.012
,,00089.956960,A2_33,0.014
,,00089.958640,A2_21,0.021
,,00089.959920,A2_66,0.024
,,00089.971360,A2_33,0.012
,,00089.986640,A2_66,0.017
,,00090.045520,A2_33,0.017
,,00090.080240,A2_66,0.012
,,00090.093440,A2_33,0.014
,,00090.117120,A2_24,0.017
,,00090.117840,A2_28,0.012
,,00090.151120,A2_33,0.018
,,00090.181600,A2_33,0.013
,,00090.217200,A2_33,0.018
,,00090.293200,A2_66,0.019
,,00090.321600,A2_24,0.025
,,00090.336080,A2_24,0.02
,,00090.339200,A2_33,0.015
,,00090.345360,A2_33,0.014
,,00090.360960,A2_24,0.017
,,00090.401440,A2_33,0.015
,,00090.405280,A2_24,0.021
,,00090.418240,A2_33,0.017
,,00090.495920,A2_33,0.015
,,00090.547760,A2_33,0.014
,,00090.578960,A2_66,0.014
,,00090.582720,A2_33,0.012
,,00090.983920,A2_33,0.012
,,00091.406880,A2_24,0.019
,,00091.549440,A3_31,0.022
,,00092.045600,A2_21,0.023
,,00092.172400,A3_31,0.02
,,00092.206560,A2_21,0.014
,,00092.791120,A2_46,0.018
,,00093.499040,A3_31,0.018
,,00094.090160,A2_21,0.023
,,00095.220480,A2_46,0.016
,,00096.277360,B2_43,0.011
,,00096.284560,B2_32,0.016
,,00096.285280,B2_23,0.039
,,00096.307920,B2_23,0.023
,,00096.334640,B2_32,0.012
,,00096.335280,B2_23,0.03
,,00096.340480,A2_24,0.016
,,00096.346000,A2_11,0.022
,,00096.350080,B2_23,0.025
,,00096.352400,A2_24,0.015
,,00096.364720,B2_32,0.012
,,00096.365680,B2_23,0.022
,,00096.385840,B2_32,0.017
,,00096.400880,A2_66,0.017
,,00096.405520,B2_32,0.013
,,00096.410560,A2_22,0.015
,,00096.416560,A2_33,0.016
,,00096.419120,A2_46,0.018
,,00096.435680,B2_32,0.014
,,00096.443440,B2_32,0.011
,,00096.444480,A2_28,0.009
,,00096.447440,A2_33,0.016
,,00096.456560,A2_56,0.015
,,00096.464640,A2_66,0.022
,,00096.468400,A2_33,0.015
,,00096.471600,A2_21,0.02
,,00096.476960,A2_22,0.013
,,00096.481120,A2_24,0.018
,,00096.486560,A2_24,0.019
,,00096.488240,A2_33,0.015
,,00096.491440,A2_22,0.016
,,00096.492240,A2_46,0.016
,,00096.495680,A2_21,0.024
,,00096.498640,A2_21,0.015
,,00096.502720,A2_66,0.02
,,00096.505760,A2_21,0.014
,,00096.506080,A2_33,0.016
,,00096.522080,A2_21,0.027
,,00096.524480,A2_21,0.016
,,00096.530320,B2_23,0.025
,,00096.541920,A2_33,0.034
,,00096.556320,A2_33,0.021
,,00096.560160,A2_33,0.019
,,00096.564240,A2_66,0.019
,,00096.572400,B2_32,0.013
,,00096.579760,A2_33,0.018
,,00096.600320,A3_31,0.02
,,00096.601840,A2_33,0.014
,,00096.605840,A2_33,0.015
,,00096.616240,A2_66,0.018
,,00096.618960,A2_21,0.02
,,00096.633280,A2_33,0.012
,,00096.643280,A2_33,0.015
,,00096.647600,A2_66,0.018
,,00096.648160,A2_46,0.016
,,00096.694800,A2_33,0.015
,,00096.723600,A2_33,0.012
,,00096.753440,A2_33,0.015
,,00096.779440,A2_33,0.018
,,00096.796320,B2_23,0.021
,,00096.822320,A2_44,0.012
,,00096.840320,A2_33,0.014
,,00096.857040,A2_24,0.017
,,00096.874720,A2_24,0.017
,,00096.884720,B2_23,0.025
,,00096.918720,B2_23,0.026
,,00096.961520,B2_23,0.024
,,00096.966400,A2_33,0.016
,,00096.973520,A2_66,0.021
,,00097.047360,A2_46,0.016
,,00097.062320,B2_32,0.014
,,00097.063280,B2_23,0.027
,,00097.078720,A2_33,0.012
,,00097.097680,A2_22,0.012
,,00097.123280,B2_32,0.017
,,00097.124240,B2_23,0.021
,,00097.137360,A2_33,0.013
,,00097.197680,A2_24,0.025
,,00097.199440,A2_33,0.019
,,00097.217520,B2_23,0.024
,,00097.240160,A2_22,0.018
,,00097.258720,A2_66,0.019
,,00097.261920,B2_32,0.015
,,00097.262800,B2_23,0.023
,,00097.382560,A2_33,0.016
,,00097.407280,A2_33,0.013
,,00097.443120,A2_33,0.014
,,00097.465760,A2_33,0.013
,,00097.498080,A2_33,0.016
,,00097.532640,A2_33,0.014
,,00097.547600,B2_32,0.014
,,00097.548640,B2_23,0.03
,,00097.555280,A2_24,0.018
,,00097.607280,A2_66,0.021
,,00097.641360,B2_23,0.026
,,00097.675920,B2_32,0.014
,,00097.676880,B2_23,0.024
,,00097.714800,B2_23,0.021
,,00097.822560,B2_23,0.024
,,00097.832320,A3_31,0.016
,,00097.891520,B2_32,0.012
,,00097.892480,B2_23,0.021
,,00097.924000,B2_23,0.025
,,00097.954240,B2_23,0.021
,,00098.156960,A3_31,0.018
